filename,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,cache-references,cache-misses,time-elapsed
2024_12_17__11-31-29/gemver_N_40000_np_1_omp/18480004.err,20953.33,0,0,2989308,52923056195,57206436595,4406000146,3193978,17333308,231372757,6344662019,3115855819,20.988443525
2024_12_17__11-31-29/gemver_N_40000_np_1_omp/18480004.err,20149.2,0,0,2937188,51430728367,57253966126,4404865576,3174264,17136046,226461371,6328306484,3090437154,20.181009353
2024_12_17__11-31-29/gemver_N_40000_np_1_omp/18480004.err,20290.12,0,0,2919304,51618523092,57289794159,4424981628,3153495,17235556,226860211,6314425708,3082746862,20.315939033
2024_12_17__11-31-29/gemver_N_40000_np_1_omp/18480004.err,20479.76,0,0,2915720,51920219763,57154201326,4408427970,3095717,17156094,221647087,6330465941,3078618120,20.512005419
2024_12_17__11-31-20/gemver_N_40000_np_1_omp/18479996.err,10544.35,0,0,8130,34987736515,57202684358,4407187429,182327,1770285,3396609,6160053025,1169368724,10.558724143
2024_12_17__11-31-20/gemver_N_40000_np_1_omp/18479996.err,12203.12,0,0,853837,37615514770,57190458077,4395730479,1035418,6456758,31264420,6313458961,1502837722,12.217681639
2024_12_17__11-31-20/gemver_N_40000_np_1_omp/18479996.err,9964.91,0,0,7620,33297452159,57166256266,4409844142,181515,3437099,1897558,6221120803,1186016418,9.985736868
2024_12_17__11-31-20/gemver_N_40000_np_1_omp/18479996.err,10626.41,0,0,7620,35378262953,57179760817,4387235790,180581,3581953,2023678,6236782094,1146656262,10.639760446
2024_12_17__11-31-20/gemver_N_40000_np_1_omp/18479996.err,11937.97,0,0,770545,36760105024,57163775412,4396950438,941298,5622153,16321298,6267718770,1470147367,11.952638137
2024_12_17__11-31-18/gemver_N_40000_np_1_omp/18479994.err,9376.09,0,0,7621,31443789569,57106296728,4397273074,180765,1715614,3662977,6218016268,1201125817,9.38753165
2024_12_17__11-31-18/gemver_N_40000_np_1_omp/18479994.err,9356.58,0,0,8132,31390642465,57269336445,4410433956,180781,1596670,3441759,6255183816,1202511481,9.367233023
2024_12_17__11-31-18/gemver_N_40000_np_1_omp/18479994.err,9346.83,0,0,8130,31364369429,57292578792,4410099204,181129,1659399,3390930,6198176408,1202269280,9.360574375
2024_12_17__11-31-18/gemver_N_40000_np_1_omp/18479994.err,9370.79,0,0,7620,31400721893,57104156662,4403757997,181627,1914252,3724037,6173712058,1197635862,9.383018972
2024_12_17__11-31-18/gemver_N_40000_np_1_omp/18479994.err,9346.39,0,0,8131,31352655764,57181603682,4404881305,181813,2022619,3912963,6253785031,1206153465,9.356694543
2024_12_17__11-39-24/gemver_N_40000_np_1_omp/18480329.err,14969.79,0,0,1303009,45734960018,57208249255,4405191411,1487428,113096705,3462351,6378260144,1775794054,14.988123079
2024_12_17__11-39-24/gemver_N_40000_np_1_omp/18480329.err,11418.75,0,0,333638,36887350339,57147564556,4393438682,507705,36262136,2694576,6239117861,1212700728,11.433001229
2024_12_17__11-39-24/gemver_N_40000_np_1_omp/18480329.err,10073.96,0,0,16309,33961720482,57233159797,4412119192,188600,5249877,3065223,6162842838,1172740789,10.0939873
2024_12_17__11-39-24/gemver_N_40000_np_1_omp/18480329.err,12469.95,0,0,765433,39318289483,57190959860,4418912895,934484,76992781,2936555,6346172192,1401905635,12.486838687
2024_12_17__11-39-24/gemver_N_40000_np_1_omp/18480329.err,12038.53,0,0,823688,37347345284,57121441958,4406019172,1025535,84602476,2668173,6291883718,1501429628,12.061080851
2024_12_17__11-25-20/gemver_N_40000_np_1_omp/18479763.err,9728.22,0,0,8131,32651819864,57196707909,4394784968,180669,1714063,2848483,6243592841,1163305533,9.739785552
2024_12_17__11-25-20/gemver_N_40000_np_1_omp/18479763.err,9740.96,0,0,8132,32724251708,57328852610,4408025658,181692,1980235,3123215,6204037050,1163826716,9.752045952
2024_12_17__11-25-20/gemver_N_40000_np_1_omp/18479763.err,9660.79,0,0,8130,32422235175,57065555561,4389375910,181991,1959095,3165753,6268369499,1168508645,9.680260213
2024_12_17__11-25-20/gemver_N_40000_np_1_omp/18479763.err,9717.63,0,0,7619,32594757578,57166518487,4400262198,180844,1694228,2809702,6255305464,1166970819,9.728761148
2024_12_17__11-25-20/gemver_N_40000_np_1_omp/18479763.err,9677.61,0,0,8131,32490837839,57293767634,4412093157,181815,2271725,3584593,6214889273,1170009453,9.688939638
2024_12_17__11-39-23/gemver_N_40000_np_1_omp/18480328.err,11076.06,0,0,370432,36041167954,57261396156,4396185043,545545,3773830,9521768,6185759810,1286514810,11.089373856
2024_12_17__11-39-23/gemver_N_40000_np_1_omp/18480328.err,12525.83,0,0,391893,40267867101,57336501787,4413470354,571527,43661563,2549337,6284029528,1192741041,12.540266336
2024_12_17__11-39-23/gemver_N_40000_np_1_omp/18480328.err,13379.81,0,0,1162479,40669014372,57246951072,4412236889,1340381,116557146,3021887,6353591344,1690793055,13.404051359
2024_12_17__11-39-23/gemver_N_40000_np_1_omp/18480328.err,13331.7,0,0,1160437,40513038223,57182363369,4410108914,1336740,113770122,2697689,6236797341,1777639866,13.34682561
2024_12_17__11-39-23/gemver_N_40000_np_1_omp/18480328.err,12742.15,0,0,740411,39919194683,57218186772,4409569995,1073035,84955918,2489906,6386392218,1379787345,12.766484841
2024_12_17__11-25-11/gemver_N_40000_np_1_omp/18479754.err,11294.96,0,0,622358,35402105680,57161810067,4387642433,796243,54927489,2112915,6284348668,1367837582,11.314913643
2024_12_17__11-25-11/gemver_N_40000_np_1_omp/18479754.err,11371.32,0,0,620309,35837706414,57130156751,4404049270,807515,4834706,8229012,6295351824,1374374685,11.38593772
2024_12_17__11-25-11/gemver_N_40000_np_1_omp/18479754.err,9941.85,0,0,72008,33077317061,57140552235,4392071048,251393,2100725,7475142,6242226114,1186372051,9.960431087
2024_12_17__11-25-11/gemver_N_40000_np_1_omp/18479754.err,10519.38,0,0,7620,35486939477,57295394295,4403415248,182808,1666082,2960442,6222193997,1158489638,10.532830365
2024_12_17__11-25-11/gemver_N_40000_np_1_omp/18479754.err,10070.14,0,0,65364,33475407366,57217376335,4401259083,243438,1851673,2809080,6215420163,1194985238,10.081922497
2024_12_17__11-31-32/gemver_N_40000_np_1_omp/18480008.err,9376.0,0,0,7621,31415377426,57139558560,4397860530,180949,1630644,3375408,6214545640,1202027483,9.387264222
2024_12_17__11-31-32/gemver_N_40000_np_1_omp/18480008.err,9367.88,0,0,8130,31370002963,57169494272,4407076617,181472,1728017,3427416,6203036904,1199154087,9.378706233
2024_12_17__11-31-32/gemver_N_40000_np_1_omp/18480008.err,9337.27,0,0,7621,31255198003,57140718555,4403646337,181508,1957529,3707653,6190205503,1203217252,9.350904898
2024_12_17__11-31-32/gemver_N_40000_np_1_omp/18480008.err,9339.5,0,0,8132,31297621862,57132632882,4400291960,180962,1745760,3488486,6189705112,1196678818,9.353420245
2024_12_17__11-31-32/gemver_N_40000_np_1_omp/18480008.err,9352.79,0,0,7621,31380554253,57206637497,4405327049,181128,1707514,3374617,6247608801,1205388893,9.363045688
2024_12_17__11-31-33/gemver_N_40000_np_1_omp/18480011.err,9521.3,0,0,8130,31094330937,57221463206,4409484530,180589,1929568,3254512,6196844614,1198624989,9.533405744
2024_12_17__11-31-33/gemver_N_40000_np_1_omp/18480011.err,9537.42,0,0,7621,30992781575,57168112942,4393150118,180296,2048342,3719290,6159931872,1201299312,9.548503653
2024_12_17__11-31-33/gemver_N_40000_np_1_omp/18480011.err,9565.05,0,0,7109,30991127010,57154534586,4401338212,181136,1639446,3220365,6248791827,1201101779,9.580870783
2024_12_17__11-31-33/gemver_N_40000_np_1_omp/18480011.err,9508.46,0,0,8131,30836248638,57301507060,4401633945,181425,1830274,3522518,6184937278,1205718950,9.523895002
2024_12_17__11-31-33/gemver_N_40000_np_1_omp/18480011.err,9612.41,0,0,7620,31182634425,57224207760,4407189159,180612,2031918,3483264,6226583057,1193465788,9.62323356
2024_12_17__11-39-31/gemver_N_40000_np_1_omp/18480335.err,9994.89,0,0,8132,33574346662,57178976578,4408014714,182321,1565353,2923590,6264683519,1144010302,10.007164873
2024_12_17__11-39-31/gemver_N_40000_np_1_omp/18480335.err,11858.67,0,0,741415,36769589998,57287634206,4416063478,943386,5823343,18309162,6263540430,1449695631,11.872491818
2024_12_17__11-39-31/gemver_N_40000_np_1_omp/18480335.err,9352.2,0,0,8132,31267957358,57211649964,4406832261,180887,1857366,3114735,6164327621,1186098574,9.371278551
2024_12_17__11-39-31/gemver_N_40000_np_1_omp/18480335.err,9626.48,0,0,7621,32345333472,57229343532,4403423559,180561,2041368,3398204,6231893002,1182441022,9.638168057
2024_12_17__11-39-31/gemver_N_40000_np_1_omp/18480335.err,10371.79,0,0,8131,35005724683,57153648706,4396731485,181103,1959223,3629601,6325659703,1131558913,10.384332542
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480001.err,11597.44,0,0,755215,36446363877,57150825022,4412016461,929326,5791319,64406898,6243856738,1463967030,11.611376362
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480001.err,10965.89,0,0,547236,34824433316,57180333584,4400193682,716977,4318564,42629692,6228613159,1349759167,10.977780788
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480001.err,10503.7,0,0,345902,33938779235,57182566816,4397207704,520619,3333235,30913949,6211789234,1257772604,10.523364724
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480001.err,10328.06,0,0,278451,33580714830,57218148190,4394459680,455510,3149068,26084321,6189245755,1238397597,10.339840739
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480001.err,10356.56,0,0,267719,33576185861,57053518071,4402943178,470133,3170753,3864195,6193429145,1236983070,10.368378485
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480002.err,16718.4,0,0,2314785,47260150699,57191220008,4410204960,2495447,13876400,309177153,6330755808,2657198633,16.737638118
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480002.err,15755.4,0,0,2074615,45544775880,57253194894,4408061308,2258049,12684075,203451372,6311457644,2506191632,15.777581509
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480002.err,14966.05,0,0,1946354,43317994646,57169650811,4406779928,2134794,11893694,220419614,6288323512,2404074194,14.984174609
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480002.err,14647.64,0,0,1915694,42720286001,57178766602,4414716910,2090343,11878643,189694140,6291122720,2395361959,14.668456596
2024_12_17__11-31-24/gemver_N_40000_np_1_omp/18480002.err,14821.04,0,0,1901906,42822321199,57269483911,4420957653,2206276,11870130,191109895,6299326876,2387025669,14.838694356
2024_12_17__11-31-23/gemver_N_40000_np_1_omp/18479998.err,9748.45,0,0,7621,31544764439,57201960457,4417998534,181767,1793516,3002964,6189167152,1192744637,9.761061667
2024_12_17__11-31-23/gemver_N_40000_np_1_omp/18479998.err,9699.89,0,0,8130,31665717578,57171111190,4403334677,181076,1709654,3622350,6263418699,1191263864,9.711439418
2024_12_17__11-31-23/gemver_N_40000_np_1_omp/18479998.err,9621.74,0,0,8132,31118969403,57153691889,4405950459,180816,1745458,2919702,6207213923,1196876151,9.641871057
2024_12_17__11-31-23/gemver_N_40000_np_1_omp/18479998.err,9649.58,0,0,8131,31539326289,57305269411,4415511373,181393,1711347,3219588,6216043400,1189593583,9.664652732
2024_12_17__11-31-23/gemver_N_40000_np_1_omp/18479998.err,9577.82,0,0,8132,31226838654,57191083583,4407329692,182336,2922413,2040605,6190777173,1199665437,9.589249446
2024_12_17__11-21-48/gemver_N_40000_np_1_omp/18479629.err,12795.49,0,0,990788,39080196454,57128335824,4396707066,1160123,7160356,10401883,6352721394,1593282734,12.814086435
2024_12_17__11-21-48/gemver_N_40000_np_1_omp/18479629.err,9805.65,0,0,7620,32442437790,57197650971,4409685543,180364,1644787,2958589,6276500541,1167164211,9.823005448
2024_12_17__11-21-48/gemver_N_40000_np_1_omp/18479629.err,10107.77,0,0,8134,34055398142,57221079370,4408095649,183119,1704399,3241595,6255271810,1160849421,10.130615802
2024_12_17__11-21-48/gemver_N_40000_np_1_omp/18479629.err,11854.1,0,0,497184,37365748845,57179884846,4402619188,835788,4300709,53885564,6326484234,1245548610,11.86962954
2024_12_17__11-21-48/gemver_N_40000_np_1_omp/18479629.err,11477.4,0,0,734264,35910859854,57179522661,4407028685,905343,5927502,60089426,6288757047,1426573683,11.491530772
2024_12_17__11-39-17/gemver_N_40000_np_1_omp/18480322.err,10317.61,0,0,8132,34817487807,57252020299,4409499992,182723,1972306,3142618,6233891112,1156097956,10.330806546
2024_12_17__11-39-17/gemver_N_40000_np_1_omp/18480322.err,12054.86,0,0,798649,37413620390,57259573579,4400410126,987529,5946860,9375800,6325942725,1472018202,12.069439732
2024_12_17__11-39-17/gemver_N_40000_np_1_omp/18480322.err,10774.08,0,0,511466,34420712630,57178266797,4392387250,684843,4319389,8142491,6292607980,1324088445,10.794249903
2024_12_17__11-39-17/gemver_N_40000_np_1_omp/18480322.err,9686.5,0,0,8132,32578153152,57116655608,4402954067,182222,1957009,3071571,6193264987,1182897175,9.697690386
2024_12_17__11-39-17/gemver_N_40000_np_1_omp/18480322.err,11070.4,0,0,7622,37298894307,57196101743,4402281537,183135,1831387,3209921,6219021729,1145420051,11.083732829
2024_12_17__11-25-13/gemver_N_40000_np_1_omp/18479756.err,9716.88,0,0,7621,32567022163,57214692717,4418439011,180671,1939985,3164182,6201559348,1164566119,9.72990764
2024_12_17__11-25-13/gemver_N_40000_np_1_omp/18479756.err,9717.97,0,0,8132,32578315290,57163462968,4408770640,182206,2052447,3273024,6244103058,1168137512,9.729180573
2024_12_17__11-25-13/gemver_N_40000_np_1_omp/18479756.err,9703.64,0,0,7619,32592822513,57351427920,4412781451,180640,1914454,3122280,6187924465,1171679890,9.723475246
2024_12_17__11-25-13/gemver_N_40000_np_1_omp/18479756.err,9742.41,0,0,7620,32717248900,57358003411,4417456424,180939,1821480,2962642,6215689288,1162381923,9.75329435
2024_12_17__11-25-13/gemver_N_40000_np_1_omp/18479756.err,9715.87,0,0,7620,32604735237,57256281509,4407975049,181570,1921655,3043059,6256414671,1167878822,9.72683767
2024_12_17__11-36-58/gemver_N_40000_np_1_omp/18480283.err,9660.01,0,0,8132,32441548581,57152155932,4398947430,181524,1698098,2765425,6200630302,1186390073,9.672424828
2024_12_17__11-36-58/gemver_N_40000_np_1_omp/18480283.err,10222.13,0,0,7621,34274481942,57133743241,4411304487,181132,1916194,3022746,6126632106,1200900228,10.234112092
2024_12_17__11-36-58/gemver_N_40000_np_1_omp/18480283.err,12262.83,0,0,645861,38127528261,57347381425,4413976964,826249,5358503,4224780,6236107853,1366545329,12.289485069
2024_12_17__11-36-58/gemver_N_40000_np_1_omp/18480283.err,9700.26,0,0,7620,32463419337,57276089516,4404621837,180463,2130076,3011230,6282846855,1160424666,9.712498453
2024_12_17__11-36-58/gemver_N_40000_np_1_omp/18480283.err,10209.28,0,0,7621,34384508715,57190504721,4397990103,180127,2239515,3388184,6231634033,1145346522,10.220818372
2024_12_17__11-25-14/gemver_N_40000_np_1_omp/18479757.err,9606.79,0,0,8131,31348367129,57258845438,4399221503,182892,2019667,3537670,6182702297,1195138824,9.618781246
2024_12_17__11-25-14/gemver_N_40000_np_1_omp/18479757.err,9416.86,0,0,8131,31044767099,57232711355,4403122265,182703,1680705,2954895,6157697895,1206399465,9.427247917
2024_12_17__11-25-14/gemver_N_40000_np_1_omp/18479757.err,9473.4,0,0,8130,31091454209,57132754434,4402885257,181270,2065158,3246639,6195258403,1197236308,9.488442116
2024_12_17__11-25-14/gemver_N_40000_np_1_omp/18479757.err,9507.73,0,0,7619,31171156682,57291407949,4391391402,180626,2171088,3465557,6206483956,1205825578,9.523617321
2024_12_17__11-25-14/gemver_N_40000_np_1_omp/18479757.err,9708.57,0,0,7622,31548787362,57206543104,4410869356,181297,1900496,3135246,6253376863,1195419729,9.719548201
2024_12_17__11-39-19/gemver_N_40000_np_1_omp/18480323.err,9930.71,0,0,7620,33410047381,57300361303,4403125257,180717,1644496,3012984,6161355350,1175997116,9.942997319
2024_12_17__11-39-19/gemver_N_40000_np_1_omp/18480323.err,10404.54,0,0,8132,34946335632,57275334897,4406883465,181652,1667037,2905430,6186353471,1182326445,10.417410316
2024_12_17__11-39-19/gemver_N_40000_np_1_omp/18480323.err,10232.57,0,0,7620,34250460420,57215241395,4403901634,182066,1741643,3025519,6236911573,1154675997,10.254322042
2024_12_17__11-39-19/gemver_N_40000_np_1_omp/18480323.err,9578.85,0,0,8131,32008116080,57371272102,4414182710,181610,1731210,2882593,6278940594,1168265228,9.591521841
2024_12_17__11-39-19/gemver_N_40000_np_1_omp/18480323.err,9611.05,0,0,8132,32261192159,57241163308,4406436624,181527,2026562,2229857,6265673616,1167734209,9.622143453
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480326.err,15131.39,0,0,1267749,45355892615,57122657855,4396095948,1451315,8858566,26505621,6404613309,1759320286,15.150266116
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480326.err,12488.64,0,0,868144,38240091096,57179173903,4410460779,1052128,6279935,18679592,6273468679,1524595885,12.50664005
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480326.err,12519.0,0,0,920776,38879534501,57189401993,4409549709,1108070,7122838,51392404,6224552037,1607037727,12.538981171
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480326.err,15367.73,0,0,1564637,46053509602,57267650244,4413258168,1743727,10036411,113241064,6389353420,2000525572,15.385404623
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480326.err,10817.42,0,0,497159,34679561997,57257977649,4403993164,681414,4602554,34159761,6261118884,1326265340,10.84345215
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480325.err,10319.39,0,0,8131,34620694103,57260302940,4406395238,180337,2000701,3518466,6277088712,1144254916,10.333224968
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480325.err,16081.56,0,0,1727136,46883935070,57229106874,4410562688,1902092,11103203,77297999,6338249875,2166722979,16.101367167
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480325.err,15706.24,0,0,1942777,45407633729,57178571748,4397529880,2128358,11767141,16429510,6282891734,2401522590,15.732521344
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480325.err,12148.68,0,0,602424,38270581369,57308357555,4401805515,783842,5074214,5837276,6240991469,1348739255,12.162868243
2024_12_17__11-39-21/gemver_N_40000_np_1_omp/18480325.err,13724.34,0,0,1135400,41706113834,57168751279,4393511426,1327723,7830315,76242900,6345901890,1700299163,13.749175807
2024_12_17__11-39-20/gemver_N_40000_np_1_omp/18480324.err,9894.07,0,0,8133,33132862456,57253461715,4404318695,184418,1890410,2950355,6206627286,1185380584,9.906556017
2024_12_17__11-39-20/gemver_N_40000_np_1_omp/18480324.err,12485.85,0,0,967279,37937038131,57213500607,4402078798,1142583,6695428,10813221,6239602335,1610343519,12.501224683
2024_12_17__11-39-20/gemver_N_40000_np_1_omp/18480324.err,11384.58,0,0,622863,35688930719,57270148684,4413948179,801591,5250704,8057130,6192070886,1378355800,11.405903461
2024_12_17__11-39-20/gemver_N_40000_np_1_omp/18480324.err,9757.33,0,0,8132,32730034892,57190107941,4399032799,185773,1968837,2498276,6217337553,1176575817,9.768944184
2024_12_17__11-39-20/gemver_N_40000_np_1_omp/18480324.err,15029.5,0,0,1728670,43896795130,57142212802,4414570390,1905537,10859212,6562166,6262965908,2226968616,15.050659071
2024_12_17__11-39-29/gemver_N_40000_np_1_omp/18480332.err,11753.26,0,0,897784,36187551701,57232257450,4397613056,1073839,6532016,18360088,6254728086,1563636150,11.76698657
2024_12_17__11-39-29/gemver_N_40000_np_1_omp/18480332.err,9318.0,0,0,7620,31252253002,57251367747,4409361987,179693,2022371,3176721,6213358889,1189598158,9.329329429
2024_12_17__11-39-29/gemver_N_40000_np_1_omp/18480332.err,9761.05,0,0,7620,32739736924,57222329087,4401051838,180101,1882223,3158954,6179537982,1176115924,9.780943297
2024_12_17__11-39-29/gemver_N_40000_np_1_omp/18480332.err,9704.05,0,0,8131,32482130113,57273598475,4402559634,181663,1713916,3011755,6179858989,1185654728,9.715583934
2024_12_17__11-39-29/gemver_N_40000_np_1_omp/18480332.err,9622.78,0,0,7621,32277646591,57197123268,4397349978,180625,1782229,3094656,6193972505,1175369690,9.634315395
2024_12_17__11-25-06/gemver_N_40000_np_1_omp/18479748.err,12778.47,0,0,881434,38991878840,57172463241,4406919601,1107357,6630502,18376543,6297689740,1524474135,13.066798918
2024_12_17__11-25-06/gemver_N_40000_np_1_omp/18479748.err,13051.33,0,0,1000494,39974281712,57268739370,4406120780,1175642,7400269,62002198,6302036726,1603142790,13.065831859
2024_12_17__11-25-06/gemver_N_40000_np_1_omp/18479748.err,14090.97,0,0,1236576,42641357608,57126381767,4393009833,1415810,8112353,75524668,6371957455,1748079724,14.112020063
2024_12_17__11-25-06/gemver_N_40000_np_1_omp/18479748.err,15598.35,0,0,1717441,45385002242,57331217437,4406459637,2078547,11605623,108324734,6304507867,2190757293,15.770826452
2024_12_17__11-25-06/gemver_N_40000_np_1_omp/18479748.err,11577.79,0,0,680606,36150514493,57147214022,4407129384,859675,5355973,38639812,6254440326,1403644832,11.595009159
2024_12_17__11-31-36/gemver_N_40000_np_1_omp/18480012.err,15284.15,0,0,1648957,44638723069,57254153664,4398759306,1869219,156200776,3012354,6289912308,2171307537,15.304121254
2024_12_17__11-31-36/gemver_N_40000_np_1_omp/18480012.err,10344.79,0,0,7620,34684789917,57386721425,4414858600,179955,3395750,1877050,6205856662,1145684872,10.358248983
2024_12_17__11-31-36/gemver_N_40000_np_1_omp/18480012.err,10477.86,0,0,8135,34959835675,57257444866,4412956385,182529,3961552,2605748,6294925469,1146055364,10.499661957
2024_12_17__11-31-36/gemver_N_40000_np_1_omp/18480012.err,10555.29,0,0,310132,34180884117,57196646240,4406350603,481797,28670288,2127968,6306434830,1236986724,10.568546558
2024_12_17__11-31-36/gemver_N_40000_np_1_omp/18480012.err,9667.58,0,0,7620,32561886011,57228340702,4394059643,179585,3222833,2063881,6266136242,1162147186,9.679483171
2024_12_17__11-25-09/gemver_N_40000_np_1_omp/18479750.err,12835.72,0,0,870702,39283709176,57223966483,4402379000,1111682,7023077,76256528,6285292078,1518000535,12.851703144
2024_12_17__11-25-09/gemver_N_40000_np_1_omp/18479750.err,12638.83,0,0,741925,39693659024,57254649578,4406531517,918461,5843327,60359959,6286604102,1404512523,12.653043838
2024_12_17__11-25-09/gemver_N_40000_np_1_omp/18479750.err,12310.42,0,0,485915,39418367958,57115173045,4408663546,658131,4085327,40434497,6246675620,1257652466,12.330482314
2024_12_17__11-25-09/gemver_N_40000_np_1_omp/18479750.err,10313.74,0,0,7626,34704432220,57217038796,4399564259,181856,2256692,4270391,6208620813,1171693033,10.326476521
